Intellectual property right :Patent

Indicator :4a- Patent publications by technology

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Field of technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","24 - Environmental technology","","","","","","","","","","","","","","","","","1","","","","1","","","","",
"Brunei Darussalam","BN","Total","25 - Handling","","","","","","","","","","","","","2","","4","","","","","","","","","","",
"Brunei Darussalam","BN","Total","26 - Machine tools","","","","","","","","","","1","","","","","","1","","","","","1","2","","","",
"Brunei Darussalam","BN","Total","27 - Engines, pumps, turbines","","","","","1","","","","","","","","1","","","","1","","1","","","","","","",
"Brunei Darussalam","BN","Total","28 - Textile and paper machines","","","","","","","","","","","","1","1","","","","","","","","","","","","",
"Brunei Darussalam","BN","Total","29 - Other special machines","","","","","","","","1","","","","4","","","1","","","","","","","","","","",
"Brunei Darussalam","BN","Total","30 - Thermal processes and apparatus","","","","","","","3","","3","3","3","1","1","","","","","","","","","","","","",
"Brunei Darussalam","BN","Total","31 - Mechanical elements","","","","","1","1","","","","2","1","2","9","4","","","","","","","","1","","","",
"Brunei Darussalam","BN","Total","32 - Transport","","","","","","","1","","1","","","","","1","1","","","1","","2","","","","","",
"Brunei Darussalam","BN","Total","33 - Furniture, games","","","","1","1","2","1","1","","","","1","","","1","","","","","","","","","","",
"Brunei Darussalam","BN","Total","34 - Other consumer goods","","","","","","","","","","","","2","","","","","","","","","","","","","",
"Brunei Darussalam","BN","Total","35 - Civil engineering","","","","","","","","","","","","","","2","","","","","","","","","","","",
"Cambodia","KH","Total","1 - Electrical machinery, apparatus, energy","","","","","","","","","","","","","","","","","","","","","1","5","3","4","5",
"Cambodia","KH","Total","4 - Digital communication","","","","","","","","","","","","1","","","","","","","","","","","","","",
"Cambodia","KH","Total","7 - IT methods for management","","","","","","","","","","","","1","","","","","","","","","","","","","",
"Cambodia","KH","Total","10 - Measurement","","","","","","","","","","","","","","","","","","","1","","","","","","",
"Cambodia","KH","Total","11 - Analysis of biological materials","","","","","","","","","","","","","","","","","","","1","","","","","","",
"Cambodia","KH","Total","15 - Biotechnology","","","","","","","","","","","","","","","","","","","","1","","","","","",
"Cambodia","KH","Total","16 - Pharmaceuticals","","","","","","","","","","","","","","","","","","1","6","1","","3","3","14","",
"Cambodia","KH","Total","18 - Food chemistry","","","","","","","","","","","","","","","","","","1","3","1","","","","","",
"Cambodia","KH","Total","24 - Environmental technology","","","","","","","","","","","","","","","","","","","","","","","","1","",
"Cambodia","KH","Total","26 - Machine tools","","","","","","","","","","","","","","1","","","","","","","","","","","",
"Cambodia","KH","Total","29 - Other special machines","","","","","","","","","","","","1","","","","","","","","","","1","","","",
"Cambodia","KH","Total","34 - Other consumer goods","","","","","","","","","","","","","","","","","","","","","1","","","1","",
"China","CN","Total","Unknown","","","","","","9","4","13","10","11","4","1","3","13","11","12","18","2","6","5","26","985","12270","16","",
"China","CN","Total","1 - Electrical machinery, apparatus, energy","662","942","1214","1929","2351","4041","5079","6610","8758","12356","17155","20480","31359","37739","46946","55980","64451","75299","99110","90254","90103","103021","109912","122112","134906",
"China","CN","Total","2 - Audio-visual technology","335","399","564","995","1597","2707","4169","5338","5839","6564","7054","7150","9770","10894","13606","17487","21451","25853","32178","33165","38341","46084","45011","43239","46086",
"China","CN","Total","3 - Telecommunications","254","474","784","1424","2030","2927","4303","5688","8142","6247","6843","7045","9914","10920","11774","14502","18028","22178","24111","23902","23084","25601","24776","26296","27093",
"China","CN","Total","4 - Digital communication","134","264","484","1137","2047","3657","7246","10523","14330","15921","19493","24505","29849","31785","37602","40856","50184","60521","64488","72450","77889","81590","88252","102756","102353",
"China","CN","Total","5 - Basic communication processes","78","101","173","223","328","495","583","730","940","1235","1411","1548","2345","2634","2947","3462","3228","3946","4235","4921","6113","6374","7252","8347","9051",
"China","CN","Total","6 - Computer technology","777","1160","1731","2652","3342","4732","5271","7265","9281","11163","13663","17217","24918","35128","46196","57478","67666","97487","110297","151499","181996","226497","258262","289295","319854",
"China","CN","Total","7 - IT methods for management","8","24","32","81","55","85","690","867","1007","1209","1609","1732","2939","4075","6426","9806","13197","22172","30174","41175","40613","44542","48934","52732","57601",
"China","CN","Total","8 - Semiconductors","96","171","494","989","1256","1709","2039","2527","3488","3580","4175","6123","9078","10008","11901","12870","13274","14574","19101","22358","24429","27122","32037","27325","30548",
"China","CN","Total","9 - Optics","157","252","464","902","1218","2035","2177","2984","3639","4047","3959","4693","7002","8769","10184","12360","14624","17236","19596","20368","21733","24113","24141","23524","25320",
"China","CN","Total","10 - Measurement","451","571","815","1255","1630","3421","4014","5526","7650","10883","13685","16018","28880","34705","42376","51779","56525","71711","88391","102562","101992","119988","124338","135276","153080",
"China","CN","Total","11 - Analysis of biological materials","61","100","167","243","286","506","574","675","942","1115","1054","1155","2050","2170","2811","3599","4278","5328","6896","7370","7418","8487","8912","9953","10952",
"China","CN","Total","12 - Control","166","198","287","385","518","964","1493","2085","2953","3887","4577","5149","8706","11775","15535","21853","25359","33677","41290","40295","38328","42796","40122","41538","45756",
"China","CN","Total","13 - Medical technology","479","610","725","931","1149","1894","2041","2585","3225","4042","5050","5777","8934","10986","14374","19393","23338","30850","46148","46270","50481","62496","64420","57815","60071",
"China","CN","Total","14 - Organic fine chemistry","463","876","1601","1381","1484","2588","2735","3744","4620","5447","6856","7630","11996","13822","15444","18643","19259","24500","26610","25884","23806","25757","25450","26361","28528",
"China","CN","Total","15 - Biotechnology","428","2569","2147","1255","1497","2261","2469","2794","3890","4560","5659","7278","8929","10143","11817","14835","15321","19103","21393","24137","23612","27841","27279","36422","40896",
"China","CN","Total","16 - Pharmaceuticals","1359","2544","3434","4147","4663","8351","9599","11157","10942","11375","12571","13336","18394","22781","31120","40333","43628","39105","37154","29659","26668","28607","29096","32180","35728",
"China","CN","Total","17 - Macromolecular chemistry, polymers","327","524","657","932","988","1586","1520","2037","2709","3207","4235","4671","8707","11182","14709","18057","19874","24838","25415","25455","19598","21519","20940","21760","25356",
"China","CN","Total","18 - Food chemistry","1250","1427","1531","2162","2161","3506","3050","3802","4923","6488","8489","10063","15884","21211","32749","41832","42345","51611","48154","34627","24054","22864","18801","18036","19291",
"China","CN","Total","19 - Basic materials chemistry","1274","1611","1722","2564","2440","3768","3638","5018","6122","7513","9808","10955","16916","21760","29949","39327","40014","52179","52262","42685","33050","34097","30125","30273","33703",
"China","CN","Total","20 - Materials, metallurgy","863","950","1297","1934","1822","3484","4289","4997","7398","9066","11480","12695","19501","22569","27651","32568","35038","39569","48664","44808","39740","45187","44391","46411","53198",
"China","CN","Total","21 - Surface technology, coating","229","323","374","705","728","1229","1578","1917","2941","3546","4303","5383","8613","10350","12082","14547","16064","17157","21590","20313","19532","23601","23471","24866","28137",
"China","CN","Total","22 - Micro-structural and nano-technology","1","5","472","27","47","106","164","201","271","314","547","711","1213","1288","1527","1715","1877","2314","2872","3094","2944","3321","3356","3519","3823",
"China","CN","Total","23 - Chemical engineering","444","595","697","1028","1118","1872","2158","2859","3978","4868","6482","7647","12429","15765","19801","26318","30746","44588","69216","56525","61564","79663","67665","70800","77947",
"China","CN","Total","24 - Environmental technology","347","480","645","852","1017","1678","1961","2326","3219","4135","5523","6396","10478","11594","14798","20782","25434","33737","45081","42164","41819","46478","38208","37890","40478",
"China","CN","Total","25 - Handling","234","292","335","514","585","903","1290","1665","2320","3104","4308","5572","10921","14955","18937","26116","30873","38183","56454","51196","53254","60185","52075","54341","57471",
"China","CN","Total","26 - Machine tools","313","368","554","825","882","1684","2319","3199","4320","6196","9053","11786","20016","25017","30521","41076","44300","53321","80375","67348","70041","84653","70115","74010","82814",
"China","CN","Total","27 - Engines, pumps, turbines","317","397","394","694","781","1376","1659","2163","2822","3586","4403","5362","8084","9686","10326","13118","14207","15144","18964","19216","19025","22501","22519","23019","24584",
"China","CN","Total","28 - Textile and paper machines","314","430","546","818","887","1589","1706","2340","3114","3198","4252","5112","9212","10819","12288","14304","15877","18687","24852","21834","20399","22660","17744","17058","18381",
"China","CN","Total","29 - Other special machines","602","739","822","1240","1362","2473","2683","3433","5004","6052","7797","9959","17190","21500","28356","40477","43938","61454","81423","68888","61338","69433","57661","59511","65276",
"China","CN","Total","30 - Thermal processes and apparatus","367","509","607","1098","1301","1990","2457","3142","3555","4397","5623","6093","9397","10792","13490","18481","19517","25619","30941","29973","29769","30974","28801","30095","31581",
"China","CN","Total","31 - Mechanical elements","265","330","405","605","685","1254","1589","2287","3038","3930","5266","6634","11325","13952","16098","20703","21792","23916","32916","27902","29470","33735","30665","31595","32743",
"China","CN","Total","32 - Transport","411","537","583","778","922","1595","1655","2205","3000","4232","5270","6053","10836","13096","17041","22630","25697","34007","47218","47232","45886","52805","50677","55008","61866",
"China","CN","Total","33 - Furniture, games","344","381","436","696","791","1391","1654","2040","2617","3161","4004","5011","8220","10753","14109","17833","21273","28875","40669","30074","27167","29076","24487","21840","19973",
"China","CN","Total","34 - Other consumer goods","428","515","647","960","1234","1758","2065","2412","2776","3011","3884","4859","8020","10859","14519","19207","18612","23406","29007","24251","23963","24094","21146","20605","20616",
"China","CN","Total","35 - Civil engineering","599","643","852","1228","1508","2714","3677","5064","6228","6690","8867","10307","17975","22102","26376","34103","39690","47651","67632","66089","70294","77790","66636","67997","70655",
"Indonesia","ID","Total","Unknown","","","","","","","","","","","","","","","","","","","","","","","30","","",
"Indonesia","ID","Total","1 - Electrical machinery, apparatus, energy","8","2","","1","","1","","","","1","2","1","","","4","2","1","","","","","1","1","1","",
"Indonesia","ID","Total","2 - Audio-visual technology","7","6","1","","","","1","3","1","","3","1","1","","1","5","1","","","1","","","","1","",
"Indonesia","ID","Total","3 - Telecommunications","15","20","","1","","","","","","","1","","","","","1","","","","","","","","","",
"Indonesia","ID","Total","4 - Digital communication","","14","","","","1","","","","","","1","","","1","2","","","1","","","","","","",
"Indonesia","ID","Total","5 - Basic communication processes","","","","","","","","","","","","","","","","1","","","","","","","","","",
"Indonesia","ID","Total","6 - Computer technology","3","5","1","","","","1","1","1","2","","1","1","1","3","7","3","1","4","","1","1","4","","2",
"Indonesia","ID","Total","7 - IT methods for management","","","","2","","3","","2","","","4","1","1","1","8","2","3","1","1","","1","5","1","3","3",
"Indonesia","ID","Total","8 - Semiconductors","","1","","3","1","3","1","","1","","","2","","","","","","","1","","","1","","","",
"Indonesia","ID","Total","9 - Optics","3","2","2","1","","","1","2","2","3","","","","","","1","1","1","","","","","","","",
"Indonesia","ID","Total","10 - Measurement","","4","1","1","","","","1","","1","1","","","","","","","1","","","1","3","2","4","",
"Indonesia","ID","Total","11 - Analysis of biological materials","1","","","","","","","","","1","","","","","","","","","","","1","1","","","",
"Indonesia","ID","Total","12 - Control","","3","","","","1","","2","1","2","1","","4","","","1","1","2","","","","1","","1","1",
"Indonesia","ID","Total","13 - Medical technology","4","1","","1","","1","","3","","","1","1","1","1","1","1","","","1","","2","1","3","1","2",
"Indonesia","ID","Total","14 - Organic fine chemistry","","2","2","1","","","","1","1","","2","6","1","","3","5","1","1","1","1","2","","","","1",
"Indonesia","ID","Total","15 - Biotechnology","1","","","","1","","1","","","1","","1","","1","","1","","","1","2","","","1","2","2",
"Indonesia","ID","Total","16 - Pharmaceuticals","1","3","3","","","4","","","","2","7","11","5","12","9","9","5","4","3","1","2","3","2","1","4",
"Indonesia","ID","Total","17 - Macromolecular chemistry, polymers","","4","1","2","2","2","1","1","","","","1","","1","2","7","2","1","","1","1","1","","","",
"Indonesia","ID","Total","18 - Food chemistry","5","6","","","","4","","1","","","","","1","2","4","4","6","3","3","","","3","","1","3",
"Indonesia","ID","Total","19 - Basic materials chemistry","7","10","1","","1","3","","","3","","2","4","3","8","4","3","5","4","3","1","","2","2","","1",
"Indonesia","ID","Total","20 - Materials, metallurgy","2","6","1","","","1","","","4","","","1","","","","","","","","","","1","2","","",
"Indonesia","ID","Total","21 - Surface technology, coating","1","3","1","1","1","","","1","","","1","","1","","1","1","","3","","","1","","2","1","1",
"Indonesia","ID","Total","23 - Chemical engineering","2","7","2","5","3","4","1","","7","1","2","","1","","1","1","1","","","","","2","1","","",
"Indonesia","ID","Total","24 - Environmental technology","4","5","4","6","4","3","1","","1","","1","","","","","","","","","","","","","1","",
"Indonesia","ID","Total","25 - Handling","3","4","3","4","","","4","2","3","1","1","3","5","3","3","5","3","","1","1","1","2","6","","1",
"Indonesia","ID","Total","26 - Machine tools","7","2","","","","","1","","2","","2","1","","5","5","","3","","2","2","","","","","1",
"Indonesia","ID","Total","27 - Engines, pumps, turbines","8","9","6","13","11","4","2","2","1","1","","","","2","1","1","2","","1","","1","","","","",
"Indonesia","ID","Total","28 - Textile and paper machines","1","","8","7","4","3","5","5","4","3","1","","","","","","4","2","","1","","","","","3",
"Indonesia","ID","Total","29 - Other special machines","4","12","1","6","4","2","4","1","1","1","1","3","2","3","5","6","2","2","3","1","3","4","3","","1",
"Indonesia","ID","Total","30 - Thermal processes and apparatus","2","1","","","","","2","1","","","","","3","1","1","","1","","1","1","","","","","",
"Indonesia","ID","Total","31 - Mechanical elements","5","11","2","5","2","","","","1","","1","","","2","","","","","","","1","","1","2","1",
"Indonesia","ID","Total","32 - Transport","5","5","2","","","","1","1","","1","2","2","3","3","2","5","1","1","2","","1","3","2","","1",
"Indonesia","ID","Total","33 - Furniture, games","5","5","","8","2","4","1","2","2","3","6","4","3","","5","5","1","2","2","4","1","","2","","",
"Indonesia","ID","Total","34 - Other consumer goods","8","6","6","4","6","7","7","6","5","6","3","11","8","7","3","2","11","3","4","4","4","6","10","5","2",
"Indonesia","ID","Total","35 - Civil engineering","7","9","2","8","2","1","","","5","2","4","7","3","2","2","7","5","3","2","3","4","1","2","","4",
"Japan","JP","Total","Unknown","","","","","","96","53","86","53","90","16","12","28","77","34","51","82","7","8","3","45","315","12305","42","4",
"Japan","JP","Total","1 - Electrical machinery, apparatus, energy","33511","36372","38587","36699","39441","41309","41255","41205","40915","42909","41368","40832","47472","51005","50028","48433","46334","48172","43927","46964","44308","44467","41606","39431","38365",
"Japan","JP","Total","2 - Audio-visual technology","32726","36473","38744","37449","40238","42873","44536","41387","39335","37402","34066","31094","31037","28429","24423","22202","20607","21647","19225","20146","19266","19642","17099","15481","14906",
"Japan","JP","Total","3 - Telecommunications","16195","18079","20092","18629","19447","19607","21006","20026","19485","18489","16942","14781","14225","12988","12161","11258","10815","11507","10366","10117","9147","8804","7695","7166","6690",
"Japan","JP","Total","4 - Digital communication","8070","9479","11367","10837","11629","11505","12629","12380","12502","13429","13634","12050","12884","13433","13243","13725","13036","13978","12889","13543","13824","14003","13555","12982","12792",
"Japan","JP","Total","5 - Basic communication processes","5716","6434","6530","6169","6168","6559","6389","6100","5848","5800","5678","5091","5096","4551","4037","4085","3612","3879","3411","3524","3208","3048","2644","2843","2618",
"Japan","JP","Total","6 - Computer technology","25572","29218","33668","30953","32478","32889","36339","35372","34068","33825","32288","30975","32306","31317","29293","29094","26402","27005","25127","27350","27926","29323","28370","26379","24722",
"Japan","JP","Total","7 - IT methods for management","1614","5242","13650","8858","7525","6055","5566","5089","4490","4073","3781","3695","3783","4187","4619","4779","5118","5966","6455","7810","9114","11128","11771","12435","12416",
"Japan","JP","Total","8 - Semiconductors","21803","24643","26088","26466","29035","28814","30181","31447","30465","30241","29452","29056","30743","29363","26317","25054","22675","22731","21483","21883","21698","21883","21060","19557","18845",
"Japan","JP","Total","9 - Optics","30714","32654","35441","36333","39006","40090","42658","42770","39608","39848","35825","33566","33872","32681","29569","28820","27479","28886","26277","26392","23980","23096","19789","19118","17697",
"Japan","JP","Total","10 - Measurement","17616","18376","19105","18127","19693","20511","21289","21117","21744","21942","20633","19341","20179","20207","18936","19394","19191","21101","20226","22901","22379","22746","20432","19404","18118",
"Japan","JP","Total","11 - Analysis of biological materials","1131","1461","1666","1729","2109","2100","1947","1834","1743","1763","1631","1641","1501","1466","1447","1486","1466","1837","1760","1832","1844","2056","1828","1545","1441",
"Japan","JP","Total","12 - Control","8068","8785","9622","8656","9170","9438","9061","8661","8529","8409","7895","6885","7191","7402","7517","7866","8862","10072","10594","12256","12493","12373","11773","10596","9573",
"Japan","JP","Total","13 - Medical technology","8112","9658","9868","9911","11540","12314","12512","12359","12217","13079","12393","12301","14515","14706","14741","15191","16199","18088","16300","16352","16549","17438","16252","14352","12815",
"Japan","JP","Total","14 - Organic fine chemistry","7014","8171","8283","8519","9171","8981","8474","8591","8307","8750","8452","7813","8127","7316","7169","6825","6703","6969","6103","6405","6470","6908","6155","5760","5507",
"Japan","JP","Total","15 - Biotechnology","3175","3643","4042","4378","5139","5311","5140","4929","4701","4812","4475","4353","4257","4188","3991","4276","4236","5103","4518","5042","5098","6197","5220","4672","4583",
"Japan","JP","Total","16 - Pharmaceuticals","3789","4537","4768","5447","6367","6731","6796","6470","6692","6888","6317","5851","5730","5400","5302","5248","5685","6588","5869","5777","5846","6706","5921","5061","4769",
"Japan","JP","Total","17 - Macromolecular chemistry, polymers","9205","9984","10290","9809","10289","9879","9815","9707","9501","10145","9544","9331","9749","10204","9746","9949","9800","11106","10487","10659","11203","12191","11194","11047","9609",
"Japan","JP","Total","18 - Food chemistry","3042","3338","3603","3529","4078","4181","4152","3880","3503","3371","3143","3131","3329","3435","3425","3555","3388","3856","3637","3849","3992","4417","4033","3849","3565",
"Japan","JP","Total","19 - Basic materials chemistry","8655","9515","9381","8971","9631","9511","9534","9735","9502","9631","9203","9259","10240","10549","10159","10359","10334","10982","9820","10044","10142","10680","9866","9471","8852",
"Japan","JP","Total","20 - Materials, metallurgy","9842","10417","10667","10252","10632","10339","9812","9808","9441","9894","9590","9594","10618","10917","11048","11177","11278","12121","10945","11117","10861","11323","10083","9868","9207",
"Japan","JP","Total","21 - Surface technology, coating","9121","9556","10271","10160","11477","11371","11198","11168","10995","11953","11201","10792","11553","11148","10620","10762","10979","12160","11262","11682","11785","11935","10804","10401","9361",
"Japan","JP","Total","22 - Micro-structural and nano-technology","186","277","369","422","625","733","702","763","705","717","567","574","572","568","596","544","483","533","489","491","491","461","395","340","319",
"Japan","JP","Total","23 - Chemical engineering","7940","8741","9006","8496","8723","8469","7977","7941","7581","7627","6906","6567","6861","6718","6596","6520","6443","6810","6306","6728","6727","6775","6091","5589","5302",
"Japan","JP","Total","24 - Environmental technology","7473","8073","7920","7622","7459","7648","6906","6672","6241","6463","6044","5562","5878","6084","5751","5724","5740","5460","5142","5057","4697","4545","4079","3818","3627",
"Japan","JP","Total","25 - Handling","15525","16161","16374","15246","15656","15324","14951","14170","13191","13390","12458","12348","12596","12736","12555","12728","12842","13894","13963","15171","14493","14854","13931","13449","12315",
"Japan","JP","Total","26 - Machine tools","12870","13296","13055","11800","11975","11594","11291","10831","10748","11053","10552","10083","10672","10965","10689","10613","10977","11429","10926","11318","10988","11073","9729","9389","8685",
"Japan","JP","Total","27 - Engines, pumps, turbines","11626","12549","13379","12914","14157","14878","14363","14910","14156","15248","14202","12470","14157","15671","14353","14323","14509","14385","13218","12348","10752","9194","7319","6530","5455",
"Japan","JP","Total","28 - Textile and paper machines","14634","16520","17626","16622","18071","18184","18412","17161","15100","14793","13431","13045","13017","12347","11213","11780","11593","12030","11080","11547","11156","10364","9283","9022","8531",
"Japan","JP","Total","29 - Other special machines","14546","15560","16211","15060","15266","14174","13739","12808","12514","12690","12180","11534","12497","12469","12236","12541","13088","13895","12869","13828","13210","13326","12300","11400","10695",
"Japan","JP","Total","30 - Thermal processes and apparatus","8768","8884","8803","8398","8957","8497","8026","8042","7794","7830","8019","7675","8090","8336","8385","8111","8065","8495","8032","8655","8092","8049","6951","6302","5926",
"Japan","JP","Total","31 - Mechanical elements","13227","14477","15565","13975","14651","14965","14892","15513","15484","14702","13097","11600","12488","12938","13276","14016","14605","15562","14409","14291","12758","11346","9369","8772","8356",
"Japan","JP","Total","32 - Transport","16032","17739","18574","17520","20358","21875","22287","21910","21708","22620","20783","17906","21525","24979","24793","25445","26368","26650","26575","29602","27456","24726","22053","20710","19774",
"Japan","JP","Total","33 - Furniture, games","12517","14909","15717","15448","16580","16640","16848","16433","16380","15030","13916","12607","13445","14914","16595","17631","20021","19319","19159","21765","19864","21129","18517","18011","18616",
"Japan","JP","Total","34 - Other consumer goods","8836","9535","10253","9384","9618","9888","9201","8280","7770","7414","6711","6638","6770","6963","6650","6469","6156","7124","6712","6987","6851","7627","7595","6367","5813",
"Japan","JP","Total","35 - Civil engineering","17932","17915","17563","15403","15497","14487","13468","12632","11096","10878","9960","9244","9298","9742","10004","10063","10219","10799","9870","10305","10159","10257","9485","9146","8683",
"Lao People's Democratic Republic","LA","Total","1 - Electrical machinery, apparatus, energy","","","","","","","","","","","","","","","","","","","","1","","","","","",
"Lao People's Democratic Republic","LA","Total","2 - Audio-visual technology","","","","","","","","","","","","","","1","1","","","","1","","","","","","",
"Lao People's Democratic Republic","LA","Total","3 - Telecommunications","","","","","","","","","","","","","","1","","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","6 - Computer technology","","","","","","","","","","","","","","","1","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","7 - IT methods for management","","","","","","","","","","","","","","","1","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","8 - Semiconductors","","","","","","","","","","","","","","","","","","","1","","","","","","",
"Lao People's Democratic Republic","LA","Total","9 - Optics","","","","","","","","","","","","","","1","","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","11 - Analysis of biological materials","","","","","","","","","","","","","","","","","","1","","","","","","","",
"Lao People's Democratic Republic","LA","Total","13 - Medical technology","","","","","","","","1","1","","","1","","2","","","","","1","","","","","","",
"Lao People's Democratic Republic","LA","Total","14 - Organic fine chemistry","","","","","","","","","","","","","1","","","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","15 - Biotechnology","","","","","","","","","","","","","","","","","","1","","","","","","","",
"Lao People's Democratic Republic","LA","Total","16 - Pharmaceuticals","","","","","","","","","","2","","","","","","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","18 - Food chemistry","","","1","","","","","","","","","","","","","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","19 - Basic materials chemistry","","","","","","","","","","","1","","","","","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","21 - Surface technology, coating","","","","","","","","","","","","","","","","","1","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","24 - Environmental technology","","","","","","","","","","","","","","1","1","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","25 - Handling","","","","","","","","","","","2","1","1","1","1","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","27 - Engines, pumps, turbines","","","","","","","","","","","","","","1","","","","","","2","3","","","","",
"Lao People's Democratic Republic","LA","Total","28 - Textile and paper machines","","","","","","","","","","","","","1","","","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","29 - Other special machines","","","","","","","","","","","","1","","","","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","31 - Mechanical elements","","","","","","","","","","","","","","","","","","","","","","","1","","",
"Lao People's Democratic Republic","LA","Total","32 - Transport","","","","","","","","","","","3","","","","","","","","","","","","1","","",
"Lao People's Democratic Republic","LA","Total","33 - Furniture, games","","","","","","","","","","","","1","","","","","","","","","","","","","",
"Lao People's Democratic Republic","LA","Total","34 - Other consumer goods","","","","","","","","","","","","","","","","","","","","","1","","","","",
"Lao People's Democratic Republic","LA","Total","35 - Civil engineering","","","","","","","","","","","","2","","","","","","1","","1","","","","","",
"Malaysia","MY","Total","Unknown","","","","","","","1","","","1","","","3","","","2","1","","","","","","85","","",
"Malaysia","MY","Total","1 - Electrical machinery, apparatus, energy","10","11","5","9","17","14","22","28","20","31","37","60","54","45","42","33","43","30","42","24","17","22","44","43","48",
"Malaysia","MY","Total","2 - Audio-visual technology","7","5","4","5","14","14","19","22","15","16","18","16","22","20","21","34","38","29","16","14","11","13","19","24","11",
"Malaysia","MY","Total","3 - Telecommunications","2","1","1","6","14","14","17","17","8","13","18","28","40","23","33","42","26","22","22","11","13","18","20","16","10",
"Malaysia","MY","Total","4 - Digital communication","1","1","3","4","17","8","10","15","13","18","40","56","64","74","83","106","61","49","42","25","31","40","34","20","17",
"Malaysia","MY","Total","5 - Basic communication processes","","1","2","","2","3","6","2","2","4","3","8","5","9","7","10","8","4","9","","1","6","10","1","4",
"Malaysia","MY","Total","6 - Computer technology","3","4","7","8","17","24","33","24","40","60","52","75","89","65","107","104","105","108","60","34","58","100","108","71","54",
"Malaysia","MY","Total","7 - IT methods for management","","2","5","1","7","5","10","12","12","10","14","11","15","19","21","19","13","29","18","21","28","45","38","36","28",
"Malaysia","MY","Total","8 - Semiconductors","4","1","12","11","30","36","22","31","17","23","23","49","76","35","77","75","51","33","33","36","14","24","37","26","8",
"Malaysia","MY","Total","9 - Optics","4","1","1","1","2","5","7","7","1","11","8","10","12","9","19","15","5","14","13","4","4","6","12","9","6",
"Malaysia","MY","Total","10 - Measurement","11","11","3","6","7","15","12","21","11","28","20","41","57","48","55","56","51","42","36","30","36","49","91","66","59",
