Intellectual property right :Patent

Indicator :4b- Patent publications by renewable energy

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Field of technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Philippines","PH","Total","Fuel cells technology","","","","","","","","","","","","","","1","","1","1","1","","1","","3","","","1",
"Philippines","PH","Total","Wind energy technology","","","4","3","3","1","","2","","1","","1","1","","4","6","10","9","2","8","1","2","1","","4",
"Philippines","PH","Total","Geothermal energy","","","","","","","","","","","","","","","","","","","","","","","","1","",
"Philippines","PH","Total","Hydro energy","","","4","3","3","4","3","4","1","8","","","","1","4","1","4","1","2","3","4","1","3","4","",
"Republic of Korea","KR","Total","Solar energy","569","597","941","581","996","2115","1757","2311","2158","2155","2967","3812","4291","3614","2962","2553","2292","2441","2266","2528","2685","2783","2689","2406","2512",
"Republic of Korea","KR","Total","Fuel cells technology","38","69","112","149","249","591","947","1512","1006","1074","804","1017","1175","1158","1238","1256","1178","1059","663","644","733","668","661","759","950",
"Republic of Korea","KR","Total","Wind energy technology","28","27","67","55","56","77","91","112","154","243","523","675","637","841","683","585","364","375","289","314","353","316","417","383","478",
"Republic of Korea","KR","Total","Geothermal energy","2","","2","2","4","7","8","16","16","41","95","90","101","106","77","87","77","72","47","68","62","58","52","64","74",
"Republic of Korea","KR","Total","Hydro energy","34","52","71","70","56","109","136","140","126","218","351","403","377","433","376","383","328","275","255","283","294","196","202","239","199",
"Singapore","SG","Total","Solar energy","9","5","9","14","14","55","62","89","53","90","88","96","78","93","104","123","86","84","88","89","104","93","143","150","204",
"Singapore","SG","Total","Fuel cells technology","","","","","1","1","1","2","4","8","9","13","12","23","16","27","16","9","7","13","7","9","12","22","23",
"Singapore","SG","Total","Wind energy technology","","","","1","","2","1","7","3","20","13","10","10","11","6","13","13","4","24","33","19","27","42","26","26",
"Singapore","SG","Total","Geothermal energy","","","","","","","","","","","","","","","","","2","","2","","","","","","",
"Singapore","SG","Total","Hydro energy","","","","","2","7","17","20","12","33","25","28","57","18","19","8","6","2","4","2","5","6","","7","11",
"Thailand","TH","Total","Solar energy","","","","","","1","","11","13","3","1","1","2","1","1","1","2","","2","2","","2","2","1","",
"Thailand","TH","Total","Fuel cells technology","","","","","","","","","","","","","5","3","","1","","","","","","","","1","2",
"Thailand","TH","Total","Wind energy technology","","","","","","","","","1","","1","2","4","1","4","","1","","2","","","1","3","","",
"Thailand","TH","Total","Geothermal energy","","","","","","","","","","","","","","","","","","","","","","","","","2",
"Thailand","TH","Total","Hydro energy","","","","1","","","1","","","","1","2","2","","4","1","2","8","3","","","","","","2",
"Viet Nam","VN","Total","Solar energy","","","","","","1","","","","","","","","","","","","","1","","1","2","","","",
"Viet Nam","VN","Total","Fuel cells technology","","","","","","","","2","1","","","","","","","","","","","","","","","","",
"Viet Nam","VN","Total","Wind energy technology","","","","","","","","","","","","","","","","","1","3","25","14","5","3","","3","3",
"Viet Nam","VN","Total","Geothermal energy","","","","","","","","","","","","","","","","","","","","","","","","1","",
"Viet Nam","VN","Total","Hydro energy","","","","","","1","","1","1","2","","1","","","","","1","5","2","6","1","1","","1","",
